Subject,Accuracy
VP001,55.55555555555556
VP002,40.74074074074074
VP003,62.96296296296296
VP004,40.74074074074074
VP005,59.25925925925925
VP006,66.66666666666666
VP007,55.55555555555556
VP008,33.33333333333333
VP009,40.74074074074074
VP010,55.55555555555556
VP011,59.25925925925925
VP012,51.85185185185185
VP013,37.03703703703704
VP014,66.66666666666666
VP015,62.96296296296296
VP016,55.55555555555556
VP017,59.25925925925925
VP018,55.55555555555556
VP019,48.148148148148145
VP020,55.55555555555556
VP021,62.96296296296296
VP022,66.66666666666666
VP023,55.55555555555556
VP024,37.03703703703704
