subject,model,accuracy,macro_precision,macro_recall,macro_f1,roc_auc
VP001,EEG,0.37037037037037035,0.2962962962962963,0.3703703703703704,0.3240740740740741,0.5267489711934157
VP001,fNIRS,0.48148148148148145,0.4850427350427351,0.48148148148148157,0.4314574314574314,0.5720164609053499
VP001,Fusion,0.3333333333333333,0.3348873348873349,0.3333333333333333,0.3101010101010101,0.5679012345679012
VP002,EEG,0.3333333333333333,0.11538461538461538,0.3333333333333333,0.1714285714285714,0.765432098765432
VP002,fNIRS,0.4444444444444444,0.45555555555555555,0.4444444444444445,0.3954013822434876,0.6378600823045267
VP002,Fusion,0.4444444444444444,0.3055555555555556,0.4444444444444445,0.36162870945479647,0.6748971193415638
VP003,EEG,0.2962962962962963,0.2719298245614035,0.2962962962962963,0.24542124542124544,0.5370370370370371
VP003,fNIRS,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.8251028806584362
VP003,Fusion,0.5555555555555556,0.5566239316239315,0.5555555555555555,0.5452168746286393,0.7736625514403292
VP004,EEG,0.3333333333333333,0.23611111111111108,0.3333333333333333,0.2711111111111111,0.5555555555555556
VP004,fNIRS,0.37037037037037035,0.3713323713323713,0.3703703703703704,0.3685185185185185,0.47736625514403297
VP004,Fusion,0.25925925925925924,0.2847805788982259,0.25925925925925924,0.24145299145299146,0.46913580246913583
VP005,EEG,0.37037037037037035,0.27972027972027974,0.3703703703703704,0.3181818181818182,0.5411522633744856
VP005,fNIRS,0.4074074074074074,0.40151515151515155,0.40740740740740744,0.40196078431372545,0.6193415637860081
VP005,Fusion,0.4444444444444444,0.4398148148148148,0.4444444444444444,0.4412338034629056,0.6296296296296297
VP006,EEG,0.4444444444444444,0.45555555555555555,0.4444444444444445,0.3954013822434875,0.6049382716049383
VP006,fNIRS,0.48148148148148145,0.4916666666666667,0.48148148148148145,0.46340275240531,0.6522633744855967
VP006,Fusion,0.4074074074074074,0.3929292929292929,0.4074074074074074,0.39415204678362575,0.6954732510288065
VP007,EEG,0.4444444444444444,0.49728049728049734,0.4444444444444445,0.4262626262626263,0.6131687242798354
VP007,fNIRS,0.48148148148148145,0.5032051282051282,0.48148148148148145,0.4809269162210339,0.6851851851851852
VP007,Fusion,0.4444444444444444,0.4444444444444444,0.4444444444444445,0.4166666666666667,0.7016460905349794
